"商品
上架日","銷售
與否(有日期代表停售)","保險
公司",險種名稱,"險種
代號","保險
年齡","
年期",幣別,"保費
級距",繳費類型,商品類別,"佣金
第1年","佣金
第2年","佣金
第3年","佣金
第4年","佣金
第5年","佣金
第6年","佣金
第7年","佣金
第8年","佣金
第9年","佣金
第10年","服務
津貼
第2年","服務
津貼
第3年","服務
津貼
第4年","服務
津貼
第5年","服務
津貼
第6年","服務
津貼
第7年","服務
津貼
第8年","服務
津貼
第9年","服務
津貼
第10年",PR13,PR25,年終
2026/3/3,銷售中,元大,日優寶日圓利率變動型終身壽險,BJ,,1,,,躉,利變型,3.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,日優寶日圓利率變動型終身壽險,BJ,,2,,,,利變型,7.80%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,臻旺美元利率變動型終身壽險,BQ,,1,,,躉,利變型,4.80%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,臻旺美元利率變動型終身壽險,BO,,2,,,,利變型,14.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,金好美美元利率變動型終身壽險,BP,0~76,1,,,躉,利變型,13.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,金好美美元利率變動型終身壽險,BP,77~85,1,,,躉,利變型,5.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,金好美美元利率變動型終身壽險,BP,0~76,2,,,,利變型,26.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,金好美美元利率變動型終身壽險,BP,77~80,2,,,,利變型,10.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,元元豐收外幣變額萬能壽險,T2,,1,,,躉,投資型,6.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/2,銷售中,元大,元元豐收外幣變額萬能壽險,T2-V,,0,,,,單筆,3.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,元元豐收外幣變額年金保險,T3,,1,,,躉,投資型,6.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/3/3,銷售中,元大,元元豐收外幣變額年金保險,T3-V,,0,,,,單筆,3.00%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2026/1/22,銷售中,元大,元心實足住院醫療健康保險附約,ZR,,1,,,,附約,25.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,N,N,Y
2026/1/22,銷售中,元大,新一年期手術醫療健康保險附約,ZH,,1,,,,附約,25.00%,10.00%,10.00%,10.00%,10.00%,10.00%,5.00%,5.00%,5.00%,5.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,N,N,Y
2026/1/22,銷售中,元大,享新意外傷害醫療保險附約,ZQ,,1,,,,附約,25.00%,25.00%,25.00%,14.00%,14.00%,14.00%,14.00%,14.00%,14.00%,14%~,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1%~,N,N,Y
2025/12/23,銷售中,元大,美好時刻美元養老保險,BD,,1,,,躉,主約,4.50%,,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/11/27,銷售中,元大,元傳鑫美元利率變動型終身壽險,BN,0~77,3,,,,主約,33.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/11/27,銷售中,元大,元傳鑫美元利率變動型終身壽險,BN,78~80,3,,,,主約,24.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/11/27,銷售中,元大,元傳鑫美元利率變動型終身壽險,BN,0~77,6,,,,主約,62.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/10/16,銷售中,元大,百富美元利率變動型終身壽險,BF,0~74,3,,,,主約,42.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
2025/10/16,銷售中,元大,百富美元利率變動型終身壽險,BF,75~80,3,,,,主約,31.00%,0.00%,,,,,,,,,0.00%,,,,,,,,,N,N,N
